,Unnamed: 0,ICAO,Year,Departures,Arrivals,Longitude,Latitude,Name
225,225,LGSA,2020,5531,,24.14970016,35.53170013,Chania International Airport
226,226,LGSR,2020,3595,,25.47929955,36.39920044,Santorini Airport
227,227,LGTS,2020,13087,,22.97089958,40.5196991,Thessaloniki Macedonia International Airport
228,228,LGZA,2020,2390,,20.8843,37.7509,"Zakynthos International Airport ""Dionysios Solomos"""
229,229,LHBP,2020,23897,,19.261093,47.42976,Budapest Liszt Ferenc International Airport
230,230,LIBR,2020,4943,,17.947001,40.6576,Brindisi Airport
231,231,LICC,2020,17318,,15.0664,37.466801,Catania-Fontanarossa Airport
232,232,LIMC,2020,46380,,8.72811,45.6306,Malpensa International Airport
233,233,LIME,2020,19417,,9.70417,45.673901,Milan Bergamo Airport
234,234,LIMF,2020,8534,,7.64963,45.200802,Turin Airport
235,235,LIML,2020,20441,,9.27674,45.445099,Milano Linate Airport
236,236,LIPE,2020,14940,,11.2887,44.5354,Bologna Guglielmo Marconi Airport
237,237,LIPH,2020,1810,,12.1944,45.648399,Treviso-Sant'Angelo Airport
238,238,LIPZ,2020,17175,,12.3519,45.505299,Venice Marco Polo Airport
239,239,LIRA,2020,13053,,12.5949,41.7994,Ciampino–G. B. Pastine International Airport
240,240,LIRF,2020,51714,,12.251998,41.804532,Rome–Fiumicino Leonardo da Vinci International Airport
241,241,LIRN,2020,15519,,14.2908,40.886002,Naples International Airport
242,242,LIRP,2020,9194,,10.3927,43.683899,Pisa International Airport
243,243,LJLJ,2020,5033,,14.4576,46.223701,Ljubljana Jože Pučnik Airport
244,244,LKKV,2020,744,,12.91499996,50.20299911,Karlovy Vary International Airport
245,245,LKPR,2020,25077,,14.26,50.1008,Václav Havel Airport Prague
246,246,LKTB,2020,2571,,16.69440079,49.15129852,Brno-Tuřany Airport
247,247,LLBG,2020,27060,,34.88669968,32.01139832,Ben Gurion International Airport
248,248,LMML,2020,12090,,14.4775,35.857498,Malta International Airport
249,249,LOWG,2020,4047,,15.4396,46.9911,Graz Airport
250,250,LOWI,2020,5208,,11.344,47.260201,Innsbruck Airport
251,251,LOWK,2020,1666,,14.3377,46.642502,Klagenfurt Airport
252,252,LOWL,2020,3444,,14.1875,48.2332,Linz-Hörsching Airport / Vogler Air Base
253,253,LOWS,2020,7343,,13.00430012,47.79330063,Salzburg Airport
